fen,played_move_uci
rn1qk2r/p1p1bppp/4pn2/1p1pNb2/3P3P/6P1/PPP1PPB1/RNBQ1RK1 b kq - 2 7,e8g8
rn1q1rk1/p1p1bppp/4pn2/1p1pNb2/3P3P/6P1/PPP1PPB1/RNBQ1RK1 w - - 3 8,c1f4
rn1q1rk1/p1p1bppp/4pn2/1p1pNb2/3P1B1P/6P1/PPP1PPB1/RN1Q1RK1 b - - 4 8,c7c6
rn1q1rk1/p3bppp/2p1pn2/1p1pNb2/3P1B1P/6P1/PPP1PPB1/RN1Q1RK1 w - - 0 9,b2b3
rn1q1rk1/p3bppp/2p1pn2/1p1pNb2/3P1B1P/1P4P1/P1P1PPB1/RN1Q1RK1 b - - 0 9,d8b6
rn3rk1/p3bppp/1qp1pn2/1p1pNb2/3P1B1P/1P4P1/P1P1PPB1/RN1Q1RK1 w - - 1 10,e2e3
rn3rk1/p3bppp/1qp1pn2/1p1pNb2/3P1B1P/1P2P1P1/P1P2PB1/RN1Q1RK1 b - - 0 10,f6e4
rn3rk1/p3bppp/1qp1p3/1p1pNb2/3PnB1P/1P2P1P1/P1P2PB1/RN1Q1RK1 w - - 1 11,g3g4
rn3rk1/p3bppp/1qp1p3/1p1pNb2/3PnBPP/1P2P3/P1P2PB1/RN1Q1RK1 b - - 0 11,f7f6
rn3rk1/p3b1pp/1qp1pp2/1p1pNb2/3PnBPP/1P2P3/P1P2PB1/RN1Q1RK1 w - - 0 12,e5d3
rn3rk1/p3b1pp/1qp1pp2/1p1p1b2/3PnBPP/1P1NP3/P1P2PB1/RN1Q1RK1 b - - 1 12,f5g6
rn3rk1/p3b1pp/1qp1ppb1/1p1p4/3PnBPP/1P1NP3/P1P2PB1/RN1Q1RK1 w - - 2 13,h4h5
rn3rk1/p3b1pp/1qp1ppb1/1p1p3P/3PnBP1/1P1NP3/P1P2PB1/RN1Q1RK1 b - - 0 13,g6f7
rn3rk1/p3bbpp/1qp1pp2/1p1p3P/3PnBP1/1P1NP3/P1P2PB1/RN1Q1RK1 w - - 1 14,a2a4
rn3rk1/p3bbpp/1qp1pp2/1p1p3P/P2PnBP1/1P1NP3/2P2PB1/RN1Q1RK1 b - - 0 14,b5b4
rn3rk1/p3bbpp/1qp1pp2/3p3P/Pp1PnBP1/1P1NP3/2P2PB1/RN1Q1RK1 w - - 0 15,c2c4
rn3rk1/p3bbpp/1qp1pp2/3p3P/PpPPnBP1/1P1NP3/5PB1/RN1Q1RK1 b - c3 0 15,b4c3
rn3rk1/p3bbpp/1qp1pp2/3p3P/P2PnBP1/1PpNP3/5PB1/RN1Q1RK1 w - - 0 16,f2f3
rn3rk1/p3bbpp/1qp1pp2/3p3P/P2PnBP1/1PpNPP2/6B1/RN1Q1RK1 b - - 0 16,e4d6
rn3rk1/p3bbpp/1qpnpp2/3p3P/P2P1BP1/1PpNPP2/6B1/RN1Q1RK1 w - - 1 17,b1c3
rn3rk1/p3bbpp/1qpnpp2/3p3P/P2P1BP1/1PNNPP2/6B1/R2Q1RK1 b - - 0 17,b8d7
