fen,played_move_uci,best_move_uci,best_eval
r1bq1rk1/pp1nppb1/2p3pp/2Pp3n/1P1P3B/2N1PN2/P3BPPP/R2Q1RK1 b - - 1 12,g6g5,g6g5,33
r1bq1rk1/pp1nppb1/2p4p/2Pp2pn/1P1P3B/2N1PN2/P3BPPP/R2Q1RK1 w - - 0 13,h4g3,h4g3,-44
r1bq1rk1/pp1nppb1/2p4p/2Pp2pn/1P1P4/2N1PNB1/P3BPPP/R2Q1RK1 b - - 1 13,h5g3,h5g3,47
r1bq1rk1/pp1nppb1/2p4p/2Pp2p1/1P1P4/2N1PNn1/P3BPPP/R2Q1RK1 w - - 0 14,h2g3,h2g3,-45
r1bq1rk1/pp1nppb1/2p4p/2Pp2p1/1P1P4/2N1PNP1/P3BPP1/R2Q1RK1 b - - 0 14,e7e5,e7e5,57
r1bq1rk1/pp1n1pb1/2p4p/2Ppp1p1/1P1P4/2N1PNP1/P3BPP1/R2Q1RK1 w - - 0 15,b4b5,d4e5,-47
r1bq1rk1/pp1n1pb1/2p4p/1PPpp1p1/3P4/2N1PNP1/P3BPP1/R2Q1RK1 b - - 0 15,e5e4,e5e4,102
r1bq1rk1/pp1n1pb1/2p4p/1PPp2p1/3Pp3/2N1PNP1/P3BPP1/R2Q1RK1 w - - 0 16,f3d2,f3d2,-93
r1bq1rk1/pp1n1pb1/2p4p/1PPp2p1/3Pp3/2N1P1P1/P2NBPP1/R2Q1RK1 b - - 1 16,f8e8,d7c5,104
r1bqr1k1/pp1n1pb1/2p4p/1PPp2p1/3Pp3/2N1P1P1/P2NBPP1/R2Q1RK1 w - - 2 17,a1c1,d1b3,26
r1bqr1k1/pp1n1pb1/2p4p/1PPp2p1/3Pp3/2N1P1P1/P2NBPP1/2RQ1RK1 b - - 3 17,d7f6,d7f6,49
r1bqr1k1/pp3pb1/2p2n1p/1PPp2p1/3Pp3/2N1P1P1/P2NBPP1/2RQ1RK1 w - - 4 18,d1a4,b5c6,-33
r1bqr1k1/pp3pb1/2p2n1p/1PPp2p1/Q2Pp3/2N1P1P1/P2NBPP1/2R2RK1 b - - 5 18,d8c7,e8e6,33
r1b1r1k1/ppq2pb1/2p2n1p/1PPp2p1/Q2Pp3/2N1P1P1/P2NBPP1/2R2RK1 w - - 6 19,d2b3,b5c6,-12
r1b1r1k1/ppq2pb1/2p2n1p/1PPp2p1/Q2Pp3/1NN1P1P1/P3BPP1/2R2RK1 b - - 7 19,a7a5,h6h5,39
r1b1r1k1/1pq2pb1/2p2n1p/pPPp2p1/Q2Pp3/1NN1P1P1/P3BPP1/2R2RK1 w - a6 0 20,b5a6,b5a6,38
r1b1r1k1/1pq2pb1/P1p2n1p/2Pp2p1/Q2Pp3/1NN1P1P1/P3BPP1/2R2RK1 b - - 0 20,c8g4,c8g4,-14
r3r1k1/1pq2pb1/P1p2n1p/2Pp2p1/Q2Pp1b1/1NN1P1P1/P3BPP1/2R2RK1 w - - 1 21,e2g4,a4b4,-5
r3r1k1/1pq2pb1/P1p2n1p/2Pp2p1/Q2Pp1B1/1NN1P1P1/P4PP1/2R2RK1 b - - 0 21,f6g4,f6g4,176
r3r1k1/1pq2pb1/P1p4p/2Pp2p1/Q2Pp1n1/1NN1P1P1/P4PP1/2R2RK1 w - - 0 22,a6a7,b3d2,-151
r3r1k1/Ppq2pb1/2p4p/2Pp2p1/Q2Pp1n1/1NN1P1P1/P4PP1/2R2RK1 b - - 0 22,h6h5,f7f5,210
r3r1k1/Ppq2pb1/2p5/2Pp2pp/Q2Pp1n1/1NN1P1P1/P4PP1/2R2RK1 w - - 0 23,a4a5,b3d2,-135
r3r1k1/Ppq2pb1/2p5/Q1Pp2pp/3Pp1n1/1NN1P1P1/P4PP1/2R2RK1 b - - 1 23,c7a5,c7a5,124
r3r1k1/Pp3pb1/2p5/q1Pp2pp/3Pp1n1/1NN1P1P1/P4PP1/2R2RK1 w - - 0 24,b3a5,b3a5,-113
r3r1k1/Pp3pb1/2p5/N1Pp2pp/3Pp1n1/2N1P1P1/P4PP1/2R2RK1 b - - 0 24,a8a7,a8a7,112
4r1k1/rp3pb1/2p5/N1Pp2pp/3Pp1n1/2N1P1P1/P4PP1/2R2RK1 w - - 0 25,a5b3,a5b3,-121
4r1k1/rp3pb1/2p5/2Pp2pp/3Pp1n1/1NN1P1P1/P4PP1/2R2RK1 b - - 1 25,h5h4,f7f5,108
4r1k1/rp3pb1/2p5/2Pp2p1/3Pp1np/1NN1P1P1/P4PP1/2R2RK1 w - - 0 26,g3h4,g3h4,-79
4r1k1/rp3pb1/2p5/2Pp2p1/3Pp1nP/1NN1P3/P4PP1/2R2RK1 b - - 0 26,g5h4,g5h4,75
